dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2023-10-15,1080.92,500,"kcal","129","30",13,12
2023-10-16,663.871,500,"kcal","75","30",13,12
2023-10-17,710.127,500,"kcal","89","30",14,12
2023-10-18,656.404,500,"kcal","76","30",15,12
2023-10-19,696.863,500,"kcal","92","30",13,12
2023-10-20,764.845,500,"kcal","88","30",15,12
2023-10-21,685.757,500,"kcal","85","30",12,12
2023-10-22,983.667,500,"kcal","133","30",12,12
2023-10-23,842.4,500,"kcal","102","30",17,12
2023-10-24,907.499,500,"kcal","130","30",15,12
2023-10-25,845.383,500,"kcal","110","30",15,12
2023-10-26,691.455,500,"kcal","80","30",14,12
2023-10-27,644.705,500,"kcal","78","30",14,12
2023-10-28,996.179,500,"kcal","121","30",16,12
2023-10-29,1180.16,500,"kcal","154","30",16,12
2023-10-30,704.513,500,"kcal","84","30",14,12
2023-10-31,804.68,500,"kcal","98","30",13,12
2023-11-01,744.207,500,"kcal","92","30",13,12
2023-11-02,666.768,500,"kcal","85","30",13,12
2023-11-03,1018.86,500,"kcal","139","30",13,12
2023-11-04,837.936,500,"kcal","104","30",14,12
2023-11-05,892.467,500,"kcal","115","30",12,12
2023-11-06,777.875,500,"kcal","103","30",12,12
2023-11-07,1146.46,500,"kcal","139","30",18,12
2023-11-08,707.401,500,"kcal","84","30",12,12
2023-11-09,836.421,500,"kcal","108","30",13,12
2023-11-10,733.05,500,"kcal","79","30",13,12
2023-11-11,784.275,500,"kcal","101","30",14,12
2023-11-12,1104.15,500,"kcal","143","30",15,12
2023-11-13,835.499,500,"kcal","114","30",14,12
2023-11-14,825.547,500,"kcal","102","30",14,12
2023-11-15,990.362,500,"kcal","120","30",15,12
2023-11-16,804.096,500,"kcal","93","30",13,12
2023-11-17,570.571,500,"kcal","56","30",12,12
2023-11-18,872.272,500,"kcal","115","30",12,12
2023-11-19,1187.4,500,"kcal","138","30",14,12
2023-11-20,958.736,500,"kcal","116","30",15,12
2023-11-21,886.962,500,"kcal","115","30",13,12
2023-11-22,778.761,500,"kcal","95","30",13,12
2023-11-23,1019.69,500,"kcal","130","30",12,12
2023-11-24,874.289,500,"kcal","103","30",15,12
2023-11-25,1084.3,500,"kcal","149","30",14,12
2023-11-26,695.496,500,"kcal","103","30",13,12
2023-11-27,1077.97,500,"kcal","133","30",14,12
2023-11-28,773.44,500,"kcal","96","30",13,12
2023-11-29,1034.76,500,"kcal","121","30",14,12
2023-11-30,1011.67,500,"kcal","123","30",17,12
2023-12-01,927.248,500,"kcal","108","30",13,12
2023-12-02,1021.43,500,"kcal","139","30",14,12
